n_estimators,max_depth,learning_rate,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,val_bacc,val_f1_worse
300,5,0.05,63,10,1.0,1.0,0.1,1.0,0.6629041740152851,0.33766233766233766
500,-1,0.05,15,30,1.0,1.0,0.1,1.0,0.6623750734861845,0.3235294117647059
100,5,0.1,63,20,1.0,1.0,0.0,0.1,0.6621399176954732,0.3218390804597701
100,-1,0.1,31,30,0.8,1.0,0.0,1.0,0.661875367430923,0.34210526315789475
100,5,0.1,63,10,0.8,1.0,0.0,0.1,0.6613756613756614,0.379746835443038
100,5,0.1,31,10,1.0,1.0,0.0,0.1,0.6613756613756614,0.379746835443038
300,3,0.1,31,30,1.0,0.8,0.1,1.0,0.6600823045267489,0.3218390804597701
300,-1,0.05,15,20,0.8,1.0,0.0,1.0,0.6598177542621987,0.36111111111111116
300,-1,0.05,15,10,0.8,0.8,0.0,1.0,0.6590534979423869,0.3888888888888889
100,3,0.2,31,20,0.8,1.0,0.0,0.1,0.6585537918871253,0.32
500,-1,0.05,63,30,0.8,0.8,0.1,1.0,0.6585243974132863,0.375
100,-1,0.1,15,10,0.8,0.8,0.1,0.1,0.6580246913580247,0.34567901234567905
100,-1,0.1,63,20,0.8,1.0,0.1,0.1,0.6577601410934745,0.4
100,-1,0.1,63,30,0.8,0.8,0.1,0.1,0.6572310405643739,0.3333333333333333
500,-1,0.05,31,30,1.0,1.0,0.0,1.0,0.6551734273956497,0.3384615384615384
100,-1,0.2,31,10,0.8,0.8,0.1,0.1,0.6549382716049382,0.3888888888888889
300,5,0.05,15,20,1.0,0.8,0.1,0.1,0.6544091710758377,0.33333333333333337
300,3,0.1,15,20,1.0,1.0,0.1,0.1,0.653909465020576,0.32558139534883723
500,5,0.1,15,10,1.0,0.8,0.1,0.1,0.6538800705467372,0.303030303030303
100,-1,0.1,63,10,0.8,0.8,0.0,1.0,0.6536449147560258,0.34210526315789475
500,-1,0.05,63,30,1.0,1.0,0.1,1.0,0.6533803644914756,0.3582089552238806
500,5,0.2,31,30,1.0,1.0,0.1,0.1,0.6533803644914756,0.375
300,-1,0.05,31,20,1.0,0.8,0.0,1.0,0.6531158142269253,0.3283582089552239
300,-1,0.05,31,30,1.0,0.8,0.1,1.0,0.6513227513227514,0.3529411764705882
300,-1,0.05,31,10,0.8,0.8,0.0,0.1,0.6513227513227514,0.38095238095238093
500,-1,0.05,63,30,0.8,1.0,0.0,1.0,0.651058201058201,0.34375
300,3,0.1,15,30,1.0,1.0,0.1,0.1,0.6508230452674897,0.34567901234567905
300,3,0.1,63,30,1.0,0.8,0.0,0.1,0.6505584950029394,0.325
500,-1,0.05,63,10,1.0,1.0,0.0,1.0,0.6502939447383892,0.375
300,-1,0.1,63,20,0.8,0.8,0.1,0.1,0.6487360376249266,0.3174603174603175
300,3,0.1,15,30,1.0,0.8,0.1,0.1,0.6477366255144034,0.34146341463414637
100,3,0.2,15,10,0.8,0.8,0.1,0.1,0.6474720752498531,0.29213483146067415
500,-1,0.1,31,10,0.8,1.0,0.1,0.1,0.6474720752498531,0.36111111111111116
500,3,0.05,15,20,1.0,0.8,0.1,1.0,0.6467078189300411,0.3076923076923077
300,5,0.1,15,10,1.0,0.8,0.0,1.0,0.6461787184009405,0.3478260869565218
300,5,0.1,63,30,0.8,0.8,0.0,1.0,0.6459141681363904,0.3333333333333333
100,3,0.2,31,10,1.0,1.0,0.1,0.1,0.645679012345679,0.3010752688172043
500,-1,0.05,31,20,0.8,1.0,0.1,1.0,0.64564961787184,0.303030303030303
500,5,0.05,31,20,0.8,1.0,0.0,1.0,0.6454144620811287,0.37681159420289856
500,3,0.05,15,20,1.0,0.8,0.0,1.0,0.6449147560258671,0.3191489361702127
300,-1,0.05,63,10,1.0,1.0,0.0,0.1,0.6448853615520281,0.34920634920634924
500,5,0.05,31,30,1.0,0.8,0.1,1.0,0.6448853615520281,0.3283582089552239
